#name	Subject1
Hs.432453	-0.183
Hs.63405	0.188
Hs.193725	-0.111
Hs.512466	-0.202
Hs.196927	-0.069
Hs.414407	-0.394
Hs.106552	0.00733333333333333
Hs.25597	0.262
Hs.78824	0.094
Hs.2053	0.577
Hs.130685	0.317
Hs.10119	0.344
Hs.439480	-0.043
Hs.406787	-0.074
Hs.445245	0.02
Hs.439671	0.404
Hs.502568	-0.043
Hs.412416	-0.506
Hs.301564	-0.032
Hs.416379	-0.094
Hs.7922	0.351
Hs.343588	0.111
Hs.405972	-0.079
Hs.89506	0.113
Hs.409258	-0.114
Hs.502836	0.038
Hs.42646	0.744
Hs.4992	-0.045
Hs.48554	0.329
Hs.128823	-0.091
Hs.112651	0.232
Hs.421342	0.2625
Hs.284295	-0.1595
Hs.274531	0.087
Hs.454534	0.151
Hs.29444	0.054
Hs.135226	0.008
Hs.512683	0.212
Hs.415702	0.168
Hs.8361	0.177
Hs.151777	-0.677
Hs.4817	0.109
Hs.30724	0.074
Hs.478000	-0.112
Hs.27017	0.09
Hs.435050	0.325
Hs.117035	-0.079
Hs.47312	-0.094
Hs.468207	-0.101
Hs.440968	-0.0343333333333333
Hs.101448	0.208
Hs.372463	0.128
Hs.75117	-0.583
Hs.278712	-0.383
Hs.283610	0.426
Hs.21	0.632
Hs.25996	-0.399
Hs.388126	0.465
Hs.153704	-0.008
Hs.26208	0.177
Hs.447529	0.759
Hs.8980	0.224
Hs.126357	-0.537
Hs.432855	0.387
Hs.63287	0.167
Hs.40968	-0.178
Hs.352768	-0.382
Hs.24641	-0.353
Hs.396644	0.133
Hs.308	0.03
Hs.80905	0.63
Hs.85195	0.003
Hs.143105	0.237
Hs.25766	0.245
Hs.5300	0.163
Hs.22216	-0.645
Hs.180037	0.009
Hs.119387	0.199
Hs.55982	-0.358
Hs.90458	-0.171
Hs.75133	-0.396
Hs.77367	-0.062
Hs.31439	0.011
Hs.169998	0.409
Hs.75189	-0.13
Hs.99430	0.253
Hs.289108	0.226
Hs.169474	-0.431
Hs.267289	-0.298
Hs.92260	-0.1215
Hs.405214	0.173
Hs.227115	-0.056
Hs.111867	-0.148
Hs.496560	-0.064
Hs.128271	-0.21
Hs.250769	0.169
Hs.105656	0.476
